Party Lead / Reporter,Officer,Siphoned Count,Status,Created Date,Last Update Date
"Deceius, the Bloodletter Wannabe","Deceius, the Bloodletter Wannabe",0,Confirmed,2021-08-08 13:26:10.997000,2021-08-08 21:26:26.816
"Deceius, the Bloodletter Wannabe",--,0,Started,2021-08-08 13:25:12.796,
"Deceius, the Bloodletter Wannabe",--,10,Started,2021-08-08 13:21:32.928000,2021-08-08 21:21:41.199
"Deceius, the Bloodletter Wannabe","Deceius, the Bloodletter Wannabe",0,Confirmed,2021-08-08 13:21:12.253000,2021-08-08 21:21:19.072
